protocol_version,polarization_type,dimension_g,coordinate_dimension,radius,method,budget,best_ell_squared,best_query,best_coordinates,best_achieved_rms_distance,best_boundary_fraction,best_class_multiplicity,best_lift_multiplicity,best_kernel_distance_spectrum,maximum_distance_overrun,all_certified
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.25,sobol,96,0.3450060336642416,50,"[-0.013715814516970327, 0.04853503007492047, -0.02574629184014501, 0.016968959723041067, 0.01731544761257585, -0.24034189242380372]",0.24811013649126973,0.9924405459650789,2,2,"[0.3450060336642416, 0.3450060336642416, 0.36165236620802516, 0.36165236620802516, 0.4754534994318047, 0.4754534994318047, 0.9378633003127288, 0.9378633003127288]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.25,cma_es,96,0.3440966734376592,81,"[-0.0074826061091875125, 0.19503038942544892, 0.03936463330440145, 0.09655977929926113, 0.0033873121948982104, 0.11628550463817389]",0.25000000000000006,1.0000000000000002,2,2,"[0.3440966734376592, 0.3440966734376592, 0.34755587457675396, 0.34755587457675396, 0.5800041952164199, 0.5800041952164199, 0.8033009008124065, 0.8033009008124065]",9.992007221626409e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.25,bayesian_ucb,96,0.3491025842520147,35,"[0.045479970758525064, 0.013408305193165703, 0.08871040391518831, 0.03886780300946947, -0.0003779081594928268, -0.21591477306474854]",0.24134577747312502,0.9653831098925001,2,2,"[0.3491025842520147, 0.3491025842520147, 0.3494595975064879, 0.3494595975064879, 0.4917281102673162, 0.4917281102673162, 0.905396253249689, 0.905396253249689]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.5,sobol,96,0.36630812775466315,81,"[0.10389905494849752, 0.2517061589947907, 0.024472054216033403, 0.008143865315152696, 0.041675938753106836, 0.35337788054063074]",0.4488084428809995,0.897616885761999,2,2,"[0.36630812775466315, 0.36630812775466315, 0.4092071195757661, 0.4092071195757661, 0.42102271724884704, 0.42102271724884704, 1.1300077774120114, 1.1300077774120114]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.5,cma_es,96,0.3989957827085304,55,"[0.08820783820115918, 0.015081411194516146, -0.09950952191219328, 0.28861737450144376, 0.002202531848222435, -0.3857265136783026]",0.4999999999999997,0.9999999999999994,2,2,"[0.3989957827085304, 0.3989957827085304, 0.399917001815483, 0.399917001815483, 0.4051823764140232, 0.4051823764140232, 1.1926431926340038, 1.1926431926340038]",6.661338147750939e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,0.5,bayesian_ucb,96,0.38488009228973263,81,"[0.1376159945906971, 0.1459711262172497, 0.14530484415622272, 0.09790825222888297, -0.006123031345488993, -0.37736635561666854]",0.46193951239351855,0.9238790247870371,2,2,"[0.38488009228973263, 0.38488009228973263, 0.3900667379285411, 0.3900667379285411, 0.39860287518827314, 0.39860287518827314, 1.1512907852482743, 1.1512907852482743]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.0,sobol,96,0.4817275160454071,16,"[0.04788571824356568, -0.8689914742728236, 0.242665757552495, -0.06323602352458073, -0.10445839103678375, -0.39567215545302825]",0.9938776076505209,0.9938776076505209,2,2,"[0.4817275160454071, 0.4817275160454071, 0.5546805032824194, 0.5546805032824194, 0.6025968548123469, 0.6025968548123469, 1.079368789856833, 1.079368789856833]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.0,cma_es,96,0.5175110503532458,83,"[-0.06861824956811918, 0.3809721831911561, 0.22828445168953174, 0.809491174933114, 0.0027967294616033605, -0.37782821041752124]",0.9999999999999997,0.9999999999999997,2,2,"[0.5175110503532458, 0.5175110503532458, 0.5515410037049429, 0.5515410037049429, 0.6044994942049525, 0.6044994942049525, 0.9260022747156836, 0.9260022747156836]",1.3322676295501878e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.0,bayesian_ucb,96,0.4836163125791172,69,"[-0.05901724111771364, -0.8266327771258295, -0.21077756834748856, -0.3085991750299444, 0.08412239583114642, -0.35233203283049186]",0.9786111873233365,0.9786111873233365,2,2,"[0.4836163125791172, 0.4836163125791172, 0.564235103442692, 0.564235103442692, 0.6234971894537874, 0.6234971894537874, 0.9919934088579941, 0.9919934088579941]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.5,sobol,96,0.6054931030987312,45,"[-0.20987732193967004, 1.1769027019213245, -0.38169200536891185, -0.3730534678639688, -0.07466274455680762, 0.4680405798600605]",1.392351481028642,0.9282343206857613,2,2,"[0.6054931030987312, 0.6054931030987312, 0.6370870107948423, 0.6370870107948423, 0.6501501421559063, 0.6501501421559063, 0.8143093463964309, 0.8143093463964309]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.5,cma_es,96,0.6511828454380947,32,"[0.10122872336322655, -0.1102497331855925, 0.49790537350930114, 1.1153928709025782, 0.07282872384651423, -0.5907244508073788]",1.3669940290029687,0.9113293526686458,2,2,"[0.6511828454380947, 0.6511828454380947, 0.6872409387941147, 0.6872409387941147, 0.6928702963699305, 0.6928702963699305, 0.7514027322247886, 0.7514027322247886]",3.3306690738754696e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",2,6,1.5,bayesian_ucb,96,0.7309178437485679,32,"[-0.016577920822914476, -0.40627342626967583, -0.4837230235513855, -1.2197951821548265, 0.07590484412436171, 0.5322281457655855]",1.4752116860912368,0.9834744573941578,2,2,"[0.7309178437485679, 0.7309178437485679, 0.7497632438074808, 0.7497632438074808, 0.7644935192079038, 0.7644935192079038, 0.8014707252563809, 0.8014707252563809]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.25,sobol,96,0.20877146654666578,78,"[0.04172967298333134, 0.02306225636068928, -0.02561038829095258, 0.14293741075388403, -0.004112944196842547, -0.19757991305672387]",0.24982987613704027,0.9993195045481611,2,2,"[0.20877146654666578, 0.20877146654666578, 0.2112397235049348, 0.2112397235049348, 0.3059714195778292, 0.3059714195778292, 0.534050960525372, 0.534050960525372, 0.8182460487440552, 0.8182460487440552, 0.8256508196188622, 0.8256508196188622, 0.8350858661866631, 0.8350858661866631, 0.8449588940197392, 0.8449588940197392, 1.2238856783113168, 1.2238856783113168, 1.2744051306391408, 1.2744051306391408, 1.281809901513948, 1.281809901513948, 2.039663470097103, 2.039663470097103]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.25,cma_es,96,0.2051328001917596,69,"[0.003078806534786007, 0.1758408732600115, -0.01336326944861252, -0.1141333728371062, -0.009028593717910023, -0.12725269497340855]",0.2457829518224785,0.983131807289914,2,2,"[0.2051328001917596, 0.2051328001917596, 0.21028709960190103, 0.21028709960190103, 0.34199332288249895, 0.34199332288249895, 0.48884647670482234, 0.48884647670482234, 0.8205312007670384, 0.8205312007670384, 0.8411483984076041, 0.8411483984076041, 0.8839651465466161, 0.8839651465466161, 0.8994280447770404, 0.8994280447770404, 1.177671454191263, 1.177671454191263, 1.193134352421687, 1.193134352421687, 1.3679732915299958, 1.3679732915299958, 1.9553859068192894, 1.9553859068192894]",9.43689570931383e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.25,bayesian_ucb,96,0.2065126665942445,64,"[-0.040242635334414946, -0.014233691506532508, -0.03444808436265576, 0.09931610094749209, 0.0075803155055813405, -0.19526080713405677]",0.2259572306478334,0.9038289225913336,2,2,"[0.2065126665942445, 0.2065126665942445, 0.21091612073591928, 0.21091612073591928, 0.3051665412685539, 0.3051665412685539, 0.5296910333917736, 0.5296910333917736, 0.8124422949896776, 0.8124422949896776, 0.825652657414702, 0.825652657414702, 0.826050666376978, 0.826050666376978, 0.8436644829436771, 0.8436644829436771, 1.2206661650742157, 1.2206661650742157, 1.261491279236117, 1.261491279236117, 1.2747016416611414, 1.2747016416611414, 2.0287050059222183, 2.0287050059222183]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.5,sobol,96,0.23195373555003262,8,"[0.011416258841010938, 0.23627738870888876, 0.051271080399829826, 0.3260950770094053, -0.002912654281064463, -0.27622892610256194]",0.4911567585678612,0.9823135171357223,2,2,"[0.23195373555003262, 0.23195373555003262, 0.2330277545844014, 0.2330277545844014, 0.2964610772607231, 0.2964610772607231, 0.6335019030081449, 0.6335019030081449, 0.82380187103711, 0.82380187103711, 0.8270239281402163, 0.8270239281402163, 0.9278149422001305, 0.9278149422001305, 0.9321110183376056, 0.9321110183376056, 1.1858443090428925, 1.1858443090428925, 1.4978835225319538, 1.4978835225319538, 1.50110557963506, 1.50110557963506, 1.9794324767889355, 1.9794324767889355]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.5,cma_es,96,0.22862467421274912,92,"[0.14821302863669236, 0.010368884368474638, -0.2296018313767599, -0.11589867548811648, -0.0001144454608104549, 0.4022137085307596]",0.5000000000000007,1.0000000000000013,2,2,"[0.22862467421274912, 0.22862467421274912, 0.23457151887798014, 0.23457151887798014, 0.23477766459678523, 0.23477766459678523, 0.6916147215846733, 0.6916147215846733, 0.6922331587410886, 0.6922331587410886, 0.7100736927367817, 0.7100736927367817, 0.9144986968509965, 0.9144986968509965, 0.9382860755119206, 0.9382860755119206, 0.9391106583871409, 0.9391106583871409, 1.6059072727168644, 1.6059072727168644, 1.6237478067125575, 1.6237478067125575, 1.6253969724629982, 1.6253969724629982]",8.881784197001252e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,0.5,bayesian_ucb,96,0.2344655027928405,86,"[0.03408704765325935, -0.17357779490656558, -0.07138571881243318, -0.14040023603659457, -0.008544406490677885, 0.3933331044631736]",0.4592202769703842,0.9184405539407684,2,2,"[0.2344655027928405, 0.2344655027928405, 0.23617231633314872, 0.23617231633314872, 0.23993638838215575, 0.23993638838215575, 0.7013392498698228, 0.7013392498698228, 0.7126314660168438, 0.7126314660168438, 0.7177519066377684, 0.7177519066377684, 0.937862011171362, 0.937862011171362, 0.9446892653325949, 0.9446892653325949, 0.959745553528623, 0.959745553528623, 1.6354371889921773, 1.6354371889921773, 1.640557629613102, 1.640557629613102, 1.6706702060051586, 1.6706702060051586]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.0,sobol,96,0.2792750038086896,68,"[-0.4738712048843767, -0.07013877455087658, 0.18938344121514633, 0.7850192630280141, -0.02210767906635024, 0.2574135534244813]",0.9738301620949752,0.9738301620949752,2,2,"[0.2792750038086896, 0.2792750038086896, 0.29150306398554904, 0.29150306398554904, 0.371459689758507, 0.371459689758507, 0.658253025616116, 0.658253025616116, 0.7269994731055281, 0.7269994731055281, 0.7470142370282297, 0.7470142370282297, 1.0466505036794225, 1.0466505036794225, 1.1660122559421962, 1.1660122559421962, 1.1725127060978018, 1.1725127060978018, 1.3787520485660385, 1.3787520485660385, 1.644961667445282, 1.644961667445282, 1.7248674846303775, 1.7248674846303775]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.0,cma_es,96,0.296582737087279,47,"[-0.20290242415657445, -0.07244569556452096, 0.028863096667272894, 0.8259584363394669, -0.05411205288550688, 0.38189707035732506]",0.9371401581721891,0.9371401581721891,2,2,"[0.296582737087279, 0.296582737087279, 0.322606453388545, 0.322606453388545, 0.33381239937277674, 0.33381239937277674, 0.6937013160510253, 0.6937013160510253, 0.805067969145767, 0.805067969145767, 0.9045659815788712, 0.9045659815788712, 0.9381838195315665, 0.9381838195315665, 0.9960926580198743, 0.9960926580198743, 1.1755001371308416, 1.1755001371308416, 1.2484187685232413, 1.2484187685232413, 1.3153941504262656, 1.3153941504262656, 1.4448407985000105, 1.4448407985000105]",1.1102230246251565e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.0,bayesian_ucb,96,0.29770980902011746,15,"[-0.04502219688571079, 0.05550301995210704, 0.01658312253288401, -0.9427914061856708, 0.004906136918251593, 0.14671049766247715]",0.9569672195381346,0.9569672195381346,2,2,"[0.29770980902011746, 0.29770980902011746, 0.3053281039675973, 0.3053281039675973, 0.49094603926071817, 0.49094603926071817, 0.7006633505576809, 0.7006633505576809, 0.7151297867147113, 0.7151297867147113, 0.7500047818990647, 0.7500047818990647, 0.8366067377602073, 0.8366067377602073, 0.9978795017178191, 0.9978795017178191, 1.097549680120545, 1.097549680120545, 1.175376171290349, 1.175376171290349, 1.3319104651376457, 1.3319104651376457, 1.5694257997758456, 1.5694257997758456]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,sobol,96,0.42911591294059187,14,"[-0.38847447231072146, -1.2332945713663315, 0.23080043409212864, -0.27029873186804654, -0.07809709943516337, 0.614803519131079]",1.4772747490908695,0.9848498327272464,2,2,"[0.42911591294059187, 0.42911591294059187, 0.43559457093872495, 0.43559457093872495, 0.4647208837740191, 0.4647208837740191, 0.534086689027299, 0.534086689027299, 0.5552560122508226, 0.5552560122508226, 0.8255893866328565, 0.8255893866328565, 0.8457171134085115, 0.8457171134085115, 0.8735367201597508, 0.8735367201597508, 0.9750415227926308, 0.9750415227926308, 1.0054592779747435, 1.0054592779747435, 1.1175960716342586, 1.1175960716342586, 1.1447444586666524, 1.1447444586666524]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,cma_es,96,0.47037912849758134,40,"[-0.2173280862494767, -0.41434033420736477, 0.441781831167457, 1.2552914743495758, 0.01226269404343035, -0.5099140562746473]",1.4999999999999991,0.9999999999999994,2,2,"[0.47037912849758134, 0.47037912849758134, 0.4761006261010346, 0.4761006261010346, 0.47967247117368883, 0.47967247117368883, 0.5306526736467043, 0.5306526736467043, 0.6637582168841805, 0.6637582168841805, 0.6894646196738863, 0.6894646196738863, 0.730194618068551, 0.730194618068551, 0.7824852182992841, 0.7824852182992841, 0.8084778020622361, 0.8084778020622361, 0.8567674336411173, 0.8567674336411173, 0.9436251762312665, 0.9436251762312665, 1.0694126431343276, 1.0694126431343276]",2.6645352591003757e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",2,6,1.5,bayesian_ucb,96,0.44445468966032825,61,"[0.020271083064338204, -0.3777042015217537, 0.06537058321531844, -1.359583442536151, -0.07831897111171218, -0.39114442675077105]",1.4679712718028006,0.9786475145352004,2,2,"[0.44445468966032825, 0.44445468966032825, 0.4498151977660254, 0.4498151977660254, 0.4675951265039797, 0.4675951265039797, 0.5224269158390457, 0.5224269158390457, 0.5739475602717347, 0.5739475602717347, 0.8618468056096047, 0.8618468056096047, 0.8812813721475712, 0.8812813721475712, 0.8973141179051976, 0.8973141179051976, 0.9239112073175626, 0.9239112073175626, 0.9266929692431025, 0.9266929692431025, 0.9375065306348133, 0.9375065306348133, 1.0987627125384796, 1.0987627125384796]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,sobol,96,0.5232437914281608,66,"[-0.0829793921306716, -0.07420944570895084, 0.02292552828404912, 0.007971884957553346, 0.003219077448122648, -0.11052541881327028, 0.01913878655282945, -0.11536372947217048, 0.0009498294906973699, -0.14916805049965268, 0.0007153920828845061, 0.15341787421656397]",0.2375887643534288,0.9503550574137152,1,2,"[0.5232437914281608, 0.5249551802084786, 0.8259334892090915]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,cma_es,96,0.5247401999526782,23,"[0.060100663261737075, 0.016230363044695335, -0.09299794116215872, 0.009302337944426827, -0.06931322161919451, -0.08449381794021574, 0.12982512920142805, 0.06937291512983798, 0.04089442368861518, 0.04983548466605874, -0.0045071327391542895, 0.208212386485352]",0.2499999999999995,0.999999999999998,1,2,"[0.5247401999526782, 0.5308287935563397, 0.7542397802329797]",9.992007221626409e-16,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.25,bayesian_ucb,96,0.517508722480419,73,"[0.053918363065241136, -0.03782378154832968, -0.014362501406511491, 0.11175471746058517, -0.04986286814293383, -0.11956972583136331, -0.028912684083706706, -0.09797838266923313, 0.12048989217792729, 0.02668282229760617, -0.0005330485696504125, 0.15361837796255134]",0.23534490389676285,0.9413796155870514,1,2,"[0.517508722480419, 0.5188231388244549, 0.8154236337864431]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,sobol,96,0.5799211841583061,90,"[0.052593784658352453, -0.01640290358122111, 0.15493639604522358, -0.18407347505465374, -0.18227239221795966, 0.022913492539600074, 0.14743011689833416, -0.06282166621981779, 0.04452873618449082, -0.3320659902563277, -0.011281253894836226, -0.3193632907218304]",0.4723873799263295,0.944774759852659,1,2,"[0.5799211841583061, 0.5972346770177974, 0.6923810470700248]",0.0,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,cma_es,96,0.5961995220976101,57,"[-0.25743296325203, 0.1713601845441015, -0.08175589549209873, 0.05914166105828364, -0.10465811701464883, -0.2780945424203584, 0.028045634147678796, 0.11566578279221483, -0.042418943846432, -0.16839148494847853, -0.011148276760223447, 0.36938844608920546]",0.4999999999999993,0.9999999999999986,1,2,"[0.5961995220976101, 0.6106390682157622, 0.6430163742236805]",1.1102230246251565e-15,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",3,12,0.5,bayesian_ucb,96,0.5918101448340599,63,"[-0.088111763293151, -0.10817611232491857, 0.027015238827971775, -0.12145514706345129, -0.023515944159001587, -0.11567675109146738, -0.004623390473085084, -0.27855035427319275, 0.11633102303902353, -0.021928568047087562, -0.02176152714743813, 0.41413873118690936]",0.4564288463818834,0.9128576927637668,1,2,"[0.5918101448340599, 0.596961790211768, 0.6296814760420508]",0.0,False
