protocol_version,candidate_id,dimension_g,polarization_type,discriminant,radius,tangent_dimension,cm_ell_squared,cm_logical_image_order,generic_minimal_image_order,initial_sobol_evaluations,sobol_holdout_evaluations,bayesian_evaluations,sobol_best_ratio,bayesian_best_ratio,overall_best_ratio,overall_best_ell_squared,best_arm,best_direction,counterexample_found,maximum_distance_error,maximum_polarization_residual,maximum_log_volume_residual
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.005,12,1.0,6,1,32,32,32,0.998134720728343,0.9985205734200521,0.9985205734200521,0.9985205734200521,bayesian_ucb,"[-0.09879996494144275, 0.006080499780157654, -0.23360515626817402, -0.02401350061841571, 0.05560220765363417, 0.0650220497166395, -0.016795989996737457, 0.26479291480633044, 0.43315335377812686, -0.8178979372452012, -0.014577979674607939, 0.023352314991512857]",False,1.862676853037204e-11,8.881784197001252e-16,1.5543122344752192e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.01,12,1.0,6,1,32,32,32,0.9971474903981782,0.9974179731885833,0.9974179731885833,0.9974179731885833,bayesian_ucb,"[0.15816010161363128, 0.055898489680826134, 0.42565359026496025, 0.49145981686385876, 0.31325051767711765, 0.2832620555880364, 0.0003456514881795369, -0.03277001622309253, -0.4128051493662562, -0.41742255694518865, -0.09755574687116791, 0.12467129611485374]",False,1.8626865674886695e-11,8.881784197001252e-16,1.7763568394002505e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.02,12,1.0,6,1,32,32,32,0.9931335316887631,0.9921547832315086,0.9931335316887631,0.9931335316887631,sobol_holdout,"[-0.21856165217555604, -0.0004360435269772266, 0.1497913729668125, -0.4059184742462064, 0.3244853704595929, 0.4667875574795803, -0.017188468628928286, -0.0010738651592347886, -0.24520240392276205, 0.6022608264110582, 0.11779797742462417, -0.06947437952424719]",False,1.8626700876156477e-11,8.881784197001252e-16,1.5543122344752192e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.05,12,1.0,6,1,32,32,32,0.9812927833128591,0.9865189206188367,0.9865189206188367,0.9865189206188367,bayesian_ucb,"[-0.04683062168863106, 0.012246984563310363, 0.16038982702515173, -0.7125786475025415, 0.37814799456442, -0.4810646790159763, 0.07460646313331186, -0.20936525484532723, -0.12416427386506097, 0.07416720180066118, -0.014852417764681184, -0.13858743898084872]",False,1.1641951291885277e-11,8.881784197001252e-16,1.9984014443252818e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,3,"[1, 1, 2]",-4,0.1,12,1.0,6,1,32,32,32,0.9585190155178337,0.9852593205205783,0.9852593205205783,0.9852593205205783,bayesian_ucb,"[0.07746591123084384, 0.07197850340599056, 0.24538016529382753, -0.11525861092911915, 0.13857350276749336, -0.18818433239920895, -0.042063124396050366, 0.04767251303957925, -0.9034713230103623, 0.1794994529673096, -0.08758391563639834, 0.02264495026615058]",False,1.1641909658521854e-11,6.661338147750939e-16,1.7763568394002505e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.005,12,1.1547005383792517,24,2,32,32,32,0.9961174334452565,0.9960656226442941,0.9961174334452565,1.150217336688196,sobol_holdout,"[0.3207914819717299, 0.375072576196174, -0.016112783812044444, 0.0936957154143139, 0.2880501293624038, -0.2575021470043097, -0.6390216314943628, -0.03330246383926437, 0.305352973555165, -0.038836898197910585, 0.22329655339561374, -0.20982576714690476]",False,1.9791084569786843e-11,8.881784197001252e-16,3.1086244689504383e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.01,12,1.1547005383792517,24,2,32,32,32,0.9925105540537353,0.9931938083669121,0.9931938083669121,1.1468414252362127,bayesian_ucb,"[-0.0359796564324429, 0.055562323129323535, -0.020275366970443343, 0.22829575385733472, 0.05771740328487065, 0.002600282686397337, -0.06378441164694847, -0.38985591499317956, 0.33472698324677663, -0.17793940967422311, -0.7149987239290008, 0.35884027512430733]",False,1.9218173927249005e-11,8.881784197001252e-16,2.6645352591003757e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.02,12,1.1547005383792517,24,2,32,32,32,0.9853388300176589,0.9853476878333519,0.9853476878333519,1.1377815056319223,bayesian_ucb,"[0.340569797969139, -0.05450478386232995, 0.17570699472458032, 0.25558163339533235, 0.17449625116811648, -0.5439325976670937, 0.20749662924384238, -0.47457085433373725, -0.21701762997999363, -0.2747584595323162, -0.1860063223121802, 0.18186629090954412]",False,1.990463349699212e-11,8.881784197001252e-16,3.552713678800501e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.05,12,1.1547005383792517,24,2,32,32,32,0.9648492279023133,0.964120883935143,0.9648492279023133,1.1141119229136065,sobol_holdout,"[-0.05777737331835039, -0.25469771341092956, 0.43477521157756727, 0.1866812180572923, -0.2641799876445093, -0.07359289958394034, -0.3528524882706198, 0.4352362270344562, -0.11995265339129484, -0.141241688704393, 0.27942630861388984, -0.45425999159705455]",False,1.9947939133846404e-11,8.881784197001252e-16,3.552713678800501e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,3,"[1, 1, 3]",-3,0.1,12,1.1547005383792517,24,2,32,32,32,0.934788325481724,0.934788325481724,0.934788325481724,1.0794005827043858,shared_sobol,"[0.222618111433626, 0.5599925378257576, -0.12462070075556855, -0.16463670082164922, -0.24744087118727306, 0.6076051902192878, -0.1431510362456434, 0.02390139716365196, -0.2856683679234444, 0.08722777414370345, -0.18546985425174997, 0.13829409241454382]",False,1.9482665480907713e-11,8.881784197001252e-16,3.552713678800501e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,3,"[1, 2, 2]",-4,0.005,12,1.0,48,1,32,32,32,0.9962989793208983,0.9963023321138731,0.9963023321138731,0.9963023321138731,bayesian_ucb,"[0.25371422897970886, -0.41621578767961986, -0.1488953237235613, 0.06382412659113723, 0.21185904713036602, 0.18258406288281387, 0.3921988673743073, 0.2160899893304944, -0.3870102497018391, -0.4666440145211134, 0.2280691868469649, -0.19458935468719382]",False,1.8626743376881638e-11,8.881784197001252e-16,2.220446049250313e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,3,"[1, 2, 2]",-4,0.01,12,1.0,48,1,32,32,32,0.9924817822862342,0.9924817822862342,0.9924817822862342,0.9924817822862342,shared_sobol,"[0.2629136755429253, 0.20496800037351148, -0.04707695051546902, -0.6667834141338013, 0.5220271189551766, 0.016117989403603854, 0.15861609973765642, -0.1603142116105211, 0.121095502766828, 0.023426055796992213, -0.2646272309321662, -0.1821424418495123]",False,1.8626723427561664e-11,8.881784197001252e-16,2.6645352591003757e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,3,"[1, 2, 2]",-4,0.02,12,1.0,48,1,32,32,32,0.9857243106359136,0.9857243106359136,0.9857243106359136,0.9857243106359136,shared_sobol,"[0.26125526771355173, 0.31763597666143895, -0.19981453645467637, 0.45965027362435074, -0.018644022271711302, -0.04852005490825489, 0.4045542813666628, -0.059620346434958726, -0.1629102468299343, 0.6137526777333967, 0.04346363191993235, -0.0678757362984077]",False,1.8626784142883324e-11,8.881784197001252e-16,2.6645352591003757e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,3,"[1, 2, 2]",-4,0.05,12,1.0,48,1,32,32,32,0.9647819967264626,0.9658777205692132,0.9658777205692132,0.9658777205692132,bayesian_ucb,"[-0.1686971384425291, -0.21584420452295347, -0.17180035131042282, 0.17346356052850134, 0.19963426809557763, -0.14500450612191126, -0.26725707775349766, 0.2372084531138055, -0.23736861766771006, -0.22214112815479106, 0.7232412737737758, -0.21909989073609687]",False,1.1641757002855968e-11,8.881784197001252e-16,2.220446049250313e-15
phase8-v1-adversarial-tangent-sphere,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,3,"[1, 2, 2]",-4,0.1,12,1.0,48,1,32,32,32,0.9290423031748315,0.934426082014373,0.934426082014373,0.934426082014373,bayesian_ucb,"[0.01957137779548741, 0.22757626361595232, 0.02693952243073264, -0.7703189412019035, -0.05482227828082155, -0.2439992886528999, 0.1919436393772937, -0.1459464924884211, -0.013820573670483113, 0.1188705847948708, 0.19827319418746903, -0.4235465006597501]",False,1.1641965169673085e-11,8.881784197001252e-16,2.6645352591003757e-15
phase8-v1-adversarial-tangent-sphere,g2_type_1_3_delta_m24_h_6_6_3_2,2,"[1, 3]",-24,0.005,6,0.8164965809277261,24,2,32,32,32,0.9972494118441602,0.9976217412340009,0.9976217412340009,0.8145547407767265,bayesian_ucb,"[0.09821249732959209, -0.6445480527770012, 0.17223376312062424, 0.5068424123649227, -0.005127129503334572, -0.5369656650495741]",False,1.9600854793411226e-11,3.552713678800501e-15,8.43769498715119e-15
phase8-v1-adversarial-tangent-sphere,g2_type_1_3_delta_m24_h_6_6_3_2,2,"[1, 3]",-24,0.01,6,0.8164965809277261,24,2,32,32,32,0.993571005036686,0.9947070590787603,0.9947070590787603,0.8121749127624815,bayesian_ucb,"[-0.5987545371789387, 0.3936465390672363, 0.22694396664437505, 0.3585982081179835, -0.4273220165622574, 0.35190206277809133]",False,1.9618345142857763e-11,3.552713678800501e-15,8.881784197001252e-15
phase8-v1-adversarial-tangent-sphere,g2_type_1_3_delta_m24_h_6_6_3_2,2,"[1, 3]",-24,0.02,6,0.8164965809277261,24,2,32,32,32,0.9873451638766991,0.9898853874461124,0.9898853874461124,0.8082380343600682,bayesian_ucb,"[-0.470470724564381, 0.2751971599315909, 0.13378842121033696, 0.285121591359852, -0.6644615378519184, 0.4027667087774107]",False,1.8974932736171013e-11,3.552713678800501e-15,1.1102230246251565e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_3_delta_m24_h_6_6_3_2,2,"[1, 3]",-24,0.05,6,0.8164965809277261,24,2,32,32,32,0.9691336258933491,0.9700029332433304,0.9700029332433304,0.7920040784830447,bayesian_ucb,"[0.24547505557295113, -0.5641656927061045, -0.3632262537000508, 0.4980318943805734, -0.19228941981862907, -0.45223309044500126]",False,1.9877828549841325e-11,3.552713678800501e-15,9.325873406851315e-15
phase8-v1-adversarial-tangent-sphere,g2_type_1_3_delta_m24_h_6_6_3_2,2,"[1, 3]",-24,0.1,6,0.8164965809277261,24,2,32,32,32,0.9403001789695148,0.9515127898511458,0.9515127898511458,0.7769069396224626,bayesian_ucb,"[-0.7056081816091512, 0.4041867438175882, 0.0601963381756388, 0.09626445187911382, -0.5652896037662415, 0.07941907967753294]",False,1.9570706166760488e-11,5.329070518200751e-15,1.4654943925052066e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_5_delta_m55_h_15_15_2_m4,2,"[1, 5]",-55,0.005,6,0.5393598899705937,4,2,32,32,32,0.9979962125041081,0.999021792564747,0.999021792564747,0.5388322841159472,bayesian_ucb,"[0.765647566764377, 0.05636808438899433, 0.08251522842688465, -0.02967496917039881, -0.6062069264661933, 0.1882292170650201]",False,1.8892218518751225e-11,2.1316282072803006e-14,5.062616992290714e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_5_delta_m55_h_15_15_2_m4,2,"[1, 5]",-55,0.01,6,0.5393598899705937,4,2,32,32,32,0.9975118939588754,0.9989933501008562,0.9989933501008562,0.5388169433917526,bayesian_ucb,"[-0.8493413126246322, -0.3845298141902641, 0.016789114703893077, -0.09117960880670567, 0.33302449217673924, -0.10609075757863352]",False,1.9593134406581392e-11,2.1316282072803006e-14,4.796163466380676e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_5_delta_m55_h_15_15_2_m4,2,"[1, 5]",-55,0.02,6,0.5393598899705937,4,2,32,32,32,0.9939400759520911,0.9945686081338484,0.9945686081338484,0.536430415051279,bayesian_ucb,"[-0.6070100648832426, -0.5750306785392157, -0.3434012463804903, -0.30770792462829094, 0.28324148750426764, -0.08968933454327961]",False,1.9653757787896353e-11,4.263256414560601e-14,4.929390229335695e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_5_delta_m55_h_15_15_2_m4,2,"[1, 5]",-55,0.05,6,0.5393598899705937,4,2,32,32,32,0.9812539356069897,0.9917639548778349,0.9917639548778349,0.5349176975797099,bayesian_ucb,"[0.9347838923277845, 0.27982818685144156, 0.011555869431389117, -0.0759871874896392, -0.1971058915659099, -0.05582953713813881]",False,1.9541486484531134e-11,7.105427357601002e-14,5.46229728115577e-14
phase8-v1-adversarial-tangent-sphere,g2_type_1_5_delta_m55_h_15_15_2_m4,2,"[1, 5]",-55,0.1,6,0.5393598899705937,4,2,32,32,32,0.9678827403855995,0.9920691706000947,0.9920691706000947,0.5350823186980852,bayesian_ucb,"[-0.5583005764568499, -0.5053403252347431, -0.329817768293205, 0.0708108037452269, 0.5275556326005034, -0.20204639645913108]",False,1.98877303514422e-11,2.2737367544323206e-13,6.927791673660977e-14
